"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"2422",5950,"LICK-WILMERDING HIGH SCHOOL","755 OCEAN Ave","San Francisco","CA","94112",37.722933,-122.448971,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.448971', 'latitude': '37.722933'}",14155334021,"5950_20160419","2016-04-19T00:00:00",86,"Routine - Unscheduled","5950_20160419_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"2434",5950,"LICK-WILMERDING HIGH SCHOOL","755 OCEAN Ave","San Francisco","CA","94112",37.722933,-122.448971,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.448971', 'latitude': '37.722933'}",14155334021,"5950_20160419","2016-04-19T00:00:00",86,"Routine - Unscheduled","5950_20160419_103138","Improper storage use or identification of toxic substances","Low Risk",1
"2440",5950,"LICK-WILMERDING HIGH SCHOOL","755 OCEAN Ave","San Francisco","CA","94112",37.722933,-122.448971,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.448971', 'latitude': '37.722933'}",14155334021,"5950_20160419","2016-04-19T00:00:00",86,"Routine - Unscheduled","5950_20160419_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"2446",5952,"IMMACULATE CONCPTION ACADEMY","3625 24th St","San Francisco","CA","94110",37.751923,-122.423558,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.423558', 'latitude': '37.751923'}",14155822052,"5952_20160418","2016-04-18T00:00:00",94,"Routine - Unscheduled","5952_20160418_103157","Food safety certificate or food handler card not available","Low Risk",1
"2449",5950,"LICK-WILMERDING HIGH SCHOOL","755 OCEAN Ave","San Francisco","CA","94112",37.722933,-122.448971,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.448971', 'latitude': '37.722933'}",14155334021,"5950_20160419","2016-04-19T00:00:00",86,"Routine - Unscheduled","5950_20160419_103120","Moderate risk food holding temperature","Moderate Risk",2
"2460",4850,"COOL GUYS","845 Holloway Ave","San Francisco","CA","94112",37.721794,-122.461991,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.461991', 'latitude': '37.721794'}",14155451404,"4850_20160419","2016-04-19T00:00:00",96,"Routine - Unscheduled","4850_20160419_103118","Employee eating or smoking","Moderate Risk",2
"2463",5950,"LICK-WILMERDING HIGH SCHOOL","755 OCEAN Ave","San Francisco","CA","94112",37.722933,-122.448971,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.448971', 'latitude': '37.722933'}",14155334021,"5950_20160419","2016-04-19T00:00:00",86,"Routine - Unscheduled","5950_20160419_103156","Permit license or inspection report not posted","Low Risk",1
"2473",3394,"The Keystone","68 04th St","San Francisco","CA","94103",37.784915,-122.404832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.404832', 'latitude': '37.784915'}",14155984400,"3394_20160419","2016-04-19T00:00:00",90,"Routine - Unscheduled","3394_20160419_103156","Permit license or inspection report not posted","Low Risk",1
"2477",5855,"SOTA (SCHOOL OF THE ARTS)","555 Portola Dr","San Francisco","CA","94131",37.745674,-122.45085,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.45085', 'latitude': '37.745674'}",14155695700,"5855_20160419","2016-04-19T00:00:00",96,"Routine - Unscheduled","5855_20160419_103161","Low risk vermin infestation","Low Risk",1
"2494",5855,"SOTA (SCHOOL OF THE ARTS)","555 Portola Dr","San Francisco","CA","94131",37.745674,-122.45085,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.45085', 'latitude': '37.745674'}",14155695700,"5855_20160419","2016-04-19T00:00:00",96,"Routine - Unscheduled","5855_20160419_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"2497",3394,"The Keystone","68 04th St","San Francisco","CA","94103",37.784915,-122.404832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.404832', 'latitude': '37.784915'}",14155984400,"3394_20160419","2016-04-19T00:00:00",90,"Routine - Unscheduled","3394_20160419_103127","Noncompliance with HAACP plan or variance","Moderate Risk",2
"2502",3394,"The Keystone","68 04th St","San Francisco","CA","94103",37.784915,-122.404832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.404832', 'latitude': '37.784915'}",14155984400,"3394_20160419","2016-04-19T00:00:00",90,"Routine - Unscheduled","3394_20160419_103148","No thermometers or uncalibrated thermometers","Low Risk",1
"2503",3394,"The Keystone","68 04th St","San Francisco","CA","94103",37.784915,-122.404832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.404832', 'latitude': '37.784915'}",14155984400,"3394_20160419","2016-04-19T00:00:00",90,"Routine - Unscheduled","3394_20160419_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"2550",1567,"TANPOPO","1740 BUCHANAN St","San Francisco","CA","94115",37.785961,-122.429776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429776', 'latitude': '37.785961'}",14155347132,"1567_20160419","2016-04-19T00:00:00",87,"Routine - Unscheduled","1567_20160419_103139","Improper food storage","Low Risk",1
"2555",13374,"Rooftop Middle School","500 Corbett St.","San Francisco","CA","94114",37.757398,-122.4442,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.4442', 'latitude': '37.757398'}",14155526757,"13374_20160422","2016-04-22T00:00:00",83,"Routine - Unscheduled","13374_20160422_103143","Inadequate warewashing facilities or equipment","Low Risk",1
"2564",1882,"Sorabol-Stonestown Galleria","3251 20th Ave","San Francisco","CA","94132",37.728497,-122.475639,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475639', 'latitude': '37.728497'}",14155755959,"1882_20160422","2016-04-22T00:00:00",89,"Routine - Unscheduled","1882_20160422_103139","Improper food storage","Low Risk",1
"2570",2134,"CHIEFTAIN IRISH PUB, THE","198 05th St","San Francisco","CA","94103",37.781567,-122.405059,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.405059', 'latitude': '37.781567'}",14155610916,"2134_20160420","2016-04-20T00:00:00",90,"Routine - Unscheduled","2134_20160420_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"2581",2134,"CHIEFTAIN IRISH PUB, THE","198 05th St","San Francisco","CA","94103",37.781567,-122.405059,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.405059', 'latitude': '37.781567'}",14155610916,"2134_20160420","2016-04-20T00:00:00",90,"Routine - Unscheduled","2134_20160420_103120","Moderate risk food holding temperature","Moderate Risk",2
"2596",1147,"UA Twin Stonestown","501 Buckingham Way","San Francisco","CA","94132",37.730105,-122.478441,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.478441', 'latitude': '37.730105'}",14155680331,"1147_20160422","2016-04-22T00:00:00",98,"Routine - Unscheduled","1147_20160422_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"2606",5844,"CLARENDON ELEMENTARY SCHOOL","500 CLARENDON Ave","San Francisco","CA","94131",37.751552,-122.456517,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.456517', 'latitude': '37.751552'}",14155752796,"5844_20160425","2016-04-25T00:00:00",91,"Routine - Unscheduled","5844_20160425_103107","Improper reheating of food","High Risk",3
"2607",1567,"TANPOPO","1740 BUCHANAN St","San Francisco","CA","94115",37.785961,-122.429776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429776', 'latitude': '37.785961'}",14155347132,"1567_20160419","2016-04-19T00:00:00",87,"Routine - Unscheduled","1567_20160419_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"2611",2134,"CHIEFTAIN IRISH PUB, THE","198 05th St","San Francisco","CA","94103",37.781567,-122.405059,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.405059', 'latitude': '37.781567'}",14155610916,"2134_20160420","2016-04-20T00:00:00",90,"Routine - Unscheduled","2134_20160420_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"2616",1567,"TANPOPO","1740 BUCHANAN St","San Francisco","CA","94115",37.785961,-122.429776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429776', 'latitude': '37.785961'}",14155347132,"1567_20160419","2016-04-19T00:00:00",87,"Routine - Unscheduled","1567_20160419_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"2624",13374,"Rooftop Middle School","500 Corbett St.","San Francisco","CA","94114",37.757398,-122.4442,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.4442', 'latitude': '37.757398'}",14155526757,"13374_20160422","2016-04-22T00:00:00",83,"Routine - Unscheduled","13374_20160422_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"2628",13374,"Rooftop Middle School","500 Corbett St.","San Francisco","CA","94114",37.757398,-122.4442,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.4442', 'latitude': '37.757398'}",14155526757,"13374_20160422","2016-04-22T00:00:00",83,"Routine - Unscheduled","13374_20160422_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"2630",1882,"Sorabol-Stonestown Galleria","3251 20th Ave","San Francisco","CA","94132",37.728497,-122.475639,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475639', 'latitude': '37.728497'}",14155755959,"1882_20160422","2016-04-22T00:00:00",89,"Routine - Unscheduled","1882_20160422_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"2639",1882,"Sorabol-Stonestown Galleria","3251 20th Ave","San Francisco","CA","94132",37.728497,-122.475639,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475639', 'latitude': '37.728497'}",14155755959,"1882_20160422","2016-04-22T00:00:00",89,"Routine - Unscheduled","1882_20160422_103103","High risk food holding temperature","High Risk",3
"2644",1567,"TANPOPO","1740 BUCHANAN St","San Francisco","CA","94115",37.785961,-122.429776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429776', 'latitude': '37.785961'}",14155347132,"1567_20160419","2016-04-19T00:00:00",87,"Routine - Unscheduled","1567_20160419_103103","High risk food holding temperature","High Risk",3
"2646",5844,"CLARENDON ELEMENTARY SCHOOL","500 CLARENDON Ave","San Francisco","CA","94131",37.751552,-122.456517,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.456517', 'latitude': '37.751552'}",14155752796,"5844_20160425","2016-04-25T00:00:00",91,"Routine - Unscheduled","5844_20160425_103161","Low risk vermin infestation","Low Risk",1
"2649",13374,"Rooftop Middle School","500 Corbett St.","San Francisco","CA","94114",37.757398,-122.4442,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.4442', 'latitude': '37.757398'}",14155526757,"13374_20160422","2016-04-22T00:00:00",83,"Routine - Unscheduled","13374_20160422_103103","High risk food holding temperature","High Risk",3
"2693",1332,"CHLOE'S","1399 CHURCH St","San Francisco","CA","94114",37.748594,-122.427116,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.427116', 'latitude': '37.748594'}",14155644116,"1332_20160427","2016-04-27T00:00:00",86,"Routine - Unscheduled","1332_20160427_103120","Moderate risk food holding temperature","Moderate Risk",2
"2701",1332,"CHLOE'S","1399 CHURCH St","San Francisco","CA","94114",37.748594,-122.427116,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.427116', 'latitude': '37.748594'}",14155644116,"1332_20160427","2016-04-27T00:00:00",86,"Routine - Unscheduled","1332_20160427_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"2703",1332,"CHLOE'S","1399 CHURCH St","San Francisco","CA","94114",37.748594,-122.427116,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.427116', 'latitude': '37.748594'}",14155644116,"1332_20160427","2016-04-27T00:00:00",86,"Routine - Unscheduled","1332_20160427_103142","Unclean nonfood contact surfaces","Low Risk",1
"2709",1332,"CHLOE'S","1399 CHURCH St","San Francisco","CA","94114",37.748594,-122.427116,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.427116', 'latitude': '37.748594'}",14155644116,"1332_20160427","2016-04-27T00:00:00",86,"Routine - Unscheduled","1332_20160427_103161","Low risk vermin infestation","Low Risk",1
"2724",1332,"CHLOE'S","1399 CHURCH St","San Francisco","CA","94114",37.748594,-122.427116,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.427116', 'latitude': '37.748594'}",14155644116,"1332_20160427","2016-04-27T00:00:00",86,"Routine - Unscheduled","1332_20160427_103139","Improper food storage","Low Risk",1
"2735",1332,"CHLOE'S","1399 CHURCH St","San Francisco","CA","94114",37.748594,-122.427116,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.427116', 'latitude': '37.748594'}",14155644116,"1332_20160427","2016-04-27T00:00:00",86,"Routine - Unscheduled","1332_20160427_103153","Inadequate dressing rooms or improper storage of personal items","Low Risk",1
"2753",61669,"Good Eats Cafe","200 Pine St #160","San Francisco","CA","94104",37.792237,-122.400124,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.400124', 'latitude': '37.792237'}",14150296633,"61669_20160427","2016-04-27T00:00:00",88,"Routine - Unscheduled","61669_20160427_103132","Improper thawing methods","Moderate Risk",2
"2759",3050,"Benkyodo Co","1747 BUCHANAN St","San Francisco","CA","94115",37.785994,-122.429925,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429925', 'latitude': '37.785994'}",14155921244,"3050_20160427","2016-04-27T00:00:00",90,"Routine - Unscheduled","3050_20160427_103143","Inadequate warewashing facilities or equipment","Low Risk",1
"2762",3050,"Benkyodo Co","1747 BUCHANAN St","San Francisco","CA","94115",37.785994,-122.429925,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429925', 'latitude': '37.785994'}",14155921244,"3050_20160427","2016-04-27T00:00:00",90,"Routine - Unscheduled","3050_20160427_103142","Unclean nonfood contact surfaces","Low Risk",1
"2765",61669,"Good Eats Cafe","200 Pine St #160","San Francisco","CA","94104",37.792237,-122.400124,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.400124', 'latitude': '37.792237'}",14150296633,"61669_20160427","2016-04-27T00:00:00",88,"Routine - Unscheduled","61669_20160427_103118","Employee eating or smoking","Moderate Risk",2
"2775",64379,"Piccadilly Fish & Chips","1348 Polk St","San Francisco","CA","94109",37.789299,-122.420352,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420352', 'latitude': '37.789299'}",14155776477,"64379_20160427","2016-04-27T00:00:00",96,"Routine - Unscheduled","64379_20160427_103150","Improper or defective plumbing","Low Risk",1
"2776",3050,"Benkyodo Co","1747 BUCHANAN St","San Francisco","CA","94115",37.785994,-122.429925,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429925', 'latitude': '37.785994'}",14155921244,"3050_20160427","2016-04-27T00:00:00",90,"Routine - Unscheduled","3050_20160427_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"2781",3050,"Benkyodo Co","1747 BUCHANAN St","San Francisco","CA","94115",37.785994,-122.429925,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.429925', 'latitude': '37.785994'}",14155921244,"3050_20160427","2016-04-27T00:00:00",90,"Routine - Unscheduled","3050_20160427_103141","Improper food labeling or menu misrepresentation","Low Risk",1
"2786",64379,"Piccadilly Fish & Chips","1348 Polk St","San Francisco","CA","94109",37.789299,-122.420352,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420352', 'latitude': '37.789299'}",14155776477,"64379_20160427","2016-04-27T00:00:00",96,"Routine - Unscheduled","64379_20160427_103139","Improper food storage","Low Risk",1
"2787",61669,"Good Eats Cafe","200 Pine St #160","San Francisco","CA","94104",37.792237,-122.400124,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.400124', 'latitude': '37.792237'}",14150296633,"61669_20160427","2016-04-27T00:00:00",88,"Routine - Unscheduled","61669_20160427_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"2801",59331,"The Lunch Box","50 Phelan Ave.","San Francisco","CA","94112",37.723638,-122.452273,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.452273', 'latitude': '37.723638'}",14155323220,"59331_20160426","2016-04-26T00:00:00",87,"Routine - Unscheduled","59331_20160426_103103","High risk food holding temperature","High Risk",3
"2802",59331,"The Lunch Box","50 Phelan Ave.","San Francisco","CA","94112",37.723638,-122.452273,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.452273', 'latitude': '37.723638'}",14155323220,"59331_20160426","2016-04-26T00:00:00",87,"Routine - Unscheduled","59331_20160426_103157","Food safety certificate or food handler card not available","Low Risk",1
"2804",59331,"The Lunch Box","50 Phelan Ave.","San Francisco","CA","94112",37.723638,-122.452273,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.452273', 'latitude': '37.723638'}",14155323220,"59331_20160426","2016-04-26T00:00:00",87,"Routine - Unscheduled","59331_20160426_103129","Insufficient hot water or running water","Moderate Risk",2
"2806",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave","San Francisco","CA","94127",37.725404,-122.462776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.462776', 'latitude': '37.725404'}",14155728615,"2808_20160426","2016-04-26T00:00:00",74,"Routine - Unscheduled","2808_20160426_103134","Other moderate risk violation","Moderate Risk",2
"2807",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave","San Francisco","CA","94127",37.725404,-122.462776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.462776', 'latitude': '37.725404'}",14155728615,"2808_20160426","2016-04-26T00:00:00",74,"Routine - Unscheduled","2808_20160426_103105","Improper cooling methods","High Risk",3
"2809",6686,"Chevron #1539","1288 19th Ave","San Francisco","CA","94122",37.763802,-122.477186,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.477186', 'latitude': '37.763802'}",14155731044,"6686_20160429","2016-04-29T00:00:00",98,"Routine - Unscheduled","6686_20160429_103142","Unclean nonfood contact surfaces","Low Risk",1
"2813",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave","San Francisco","CA","94127",37.725404,-122.462776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.462776', 'latitude': '37.725404'}",14155728615,"2808_20160426","2016-04-26T00:00:00",74,"Routine - Unscheduled","2808_20160426_103132","Improper thawing methods","Moderate Risk",2
"2818",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave","San Francisco","CA","94127",37.725404,-122.462776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.462776', 'latitude': '37.725404'}",14155728615,"2808_20160426","2016-04-26T00:00:00",74,"Routine - Unscheduled","2808_20160426_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"2822",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave","San Francisco","CA","94127",37.725404,-122.462776,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.462776', 'latitude': '37.725404'}",14155728615,"2808_20160426","2016-04-26T00:00:00",74,"Routine - Unscheduled","2808_20160426_103102","Unclean hands or improper use of gloves","High Risk",3
"2834",6001,"PRESIDIO GATE APARTMENTS","2770 LOMBARD St","San Francisco","CA","94123",37.798558,-122.446784,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.446784', 'latitude': '37.798558'}",14155561050,"6001_20160429","2016-04-29T00:00:00",96,"Routine - Unscheduled","6001_20160429_103148","No thermometers or uncalibrated thermometers","Low Risk",1
"2840",69195,"Center Cafe","205 13th St","San Francisco","CA","94103",37.769751,-122.41832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.41832', 'latitude': '37.769751'}",14155863888,"69195_20160429","2016-04-29T00:00:00",76,"Routine - Unscheduled","69195_20160429_103103","High risk food holding temperature","High Risk",3
"2853",69195,"Center Cafe","205 13th St","San Francisco","CA","94103",37.769751,-122.41832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.41832', 'latitude': '37.769751'}",14155863888,"69195_20160429","2016-04-29T00:00:00",76,"Routine - Unscheduled","69195_20160429_103102","Unclean hands or improper use of gloves","High Risk",3
"2857",69195,"Center Cafe","205 13th St","San Francisco","CA","94103",37.769751,-122.41832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.41832', 'latitude': '37.769751'}",14155863888,"69195_20160429","2016-04-29T00:00:00",76,"Routine - Unscheduled","69195_20160429_103132","Improper thawing methods","Moderate Risk",2
"2858",69195,"Center Cafe","205 13th St","San Francisco","CA","94103",37.769751,-122.41832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.41832', 'latitude': '37.769751'}",14155863888,"69195_20160429","2016-04-29T00:00:00",76,"Routine - Unscheduled","69195_20160429_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"2879",69195,"Center Cafe","205 13th St","San Francisco","CA","94103",37.769751,-122.41832,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.41832', 'latitude': '37.769751'}",14155863888,"69195_20160429","2016-04-29T00:00:00",76,"Routine - Unscheduled","69195_20160429_103133","Foods not protected from contamination","Moderate Risk",2
"2887",6001,"PRESIDIO GATE APARTMENTS","2770 LOMBARD St","San Francisco","CA","94123",37.798558,-122.446784,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.446784', 'latitude': '37.798558'}",14155561050,"6001_20160429","2016-04-29T00:00:00",96,"Routine - Unscheduled","6001_20160429_103138","Improper storage use or identification of toxic substances","Low Risk",1
"2898",1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION St","San Francisco","CA","94110",37.748855,-122.418134,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418134', 'latitude': '37.748855'}",14155286927,"1005_20160502","2016-05-02T00:00:00",84,"Routine - Unscheduled","1005_20160502_103131","Moderate risk vermin infestation","Moderate Risk",2
"2899",999,"SERRANO'S PIZZA II","3274 21st St","San Francisco","CA","94110",37.756997,-122.420534,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420534', 'latitude': '37.756997'}",14155691615,"999_20160503","2016-05-03T00:00:00",81,"Routine - Unscheduled","999_20160503_103133","Foods not protected from contamination","Moderate Risk",2
"2900",4874,"JUMP START COFFEE & GROCERY","1192 GUERRERO St","San Francisco","CA","94110",37.752118,-122.422914,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.422914', 'latitude': '37.752118'}",14155647555,"4874_20160502","2016-05-02T00:00:00",90,"Routine - Unscheduled","4874_20160502_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"2903",999,"SERRANO'S PIZZA II","3274 21st St","San Francisco","CA","94110",37.756997,-122.420534,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420534', 'latitude': '37.756997'}",14155691615,"999_20160503","2016-05-03T00:00:00",81,"Routine - Unscheduled","999_20160503_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"2919",1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION St","San Francisco","CA","94110",37.748855,-122.418134,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418134', 'latitude': '37.748855'}",14155286927,"1005_20160502","2016-05-02T00:00:00",84,"Routine - Unscheduled","1005_20160502_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"2922",999,"SERRANO'S PIZZA II","3274 21st St","San Francisco","CA","94110",37.756997,-122.420534,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420534', 'latitude': '37.756997'}",14155691615,"999_20160503","2016-05-03T00:00:00",81,"Routine - Unscheduled","999_20160503_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"2926",999,"SERRANO'S PIZZA II","3274 21st St","San Francisco","CA","94110",37.756997,-122.420534,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420534', 'latitude': '37.756997'}",14155691615,"999_20160503","2016-05-03T00:00:00",81,"Routine - Unscheduled","999_20160503_103139","Improper food storage","Low Risk",1
