"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"46631",2684,"ERIC'S RESTAURANT","1500 Church St","San Francisco","CA","94131",37.746759,-122.426995,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426995', 'latitude': '37.746759'}",14155280919,"2684_20190107","2019-01-07T00:00:00",84,"Routine - Unscheduled","2684_20190107_103142","Unclean nonfood contact surfaces","Low Risk",1
"46632",628,"EL BURRITO EXPRESS #2","1812 DIVISADERO St","San Francisco","CA","94115",37.786407,-122.440057,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.440057', 'latitude': '37.786407'}",14155774246,"628_20190109","2019-01-09T00:00:00",79,"Routine - Unscheduled","628_20190109_103109","Unclean or unsanitary food contact surfaces","High Risk",3
"46642",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20180814","2018-08-14T00:00:00",76,"Routine - Unscheduled","71657_20180814_103105","Improper cooling methods","High Risk",3
"46653",3070,"FLOWER MARKET CAFE","698 BRANNAN St","San Francisco","CA","94107",37.775664,-122.399999,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.399999', 'latitude': '37.775664'}",14155497162,"3070_20190110","2019-01-10T00:00:00",77,"Routine - Unscheduled","3070_20190110_103139","Improper food storage","Low Risk",1
"46661",1352,"LA TORTILLA","495 Castro St B","San Francisco","CA","94114",37.760954,-122.434935,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.434935', 'latitude': '37.760954'}",14155863990,"1352_20190115","2019-01-15T00:00:00",86,"Routine - Unscheduled","1352_20190115_103120","Moderate risk food holding temperature","Moderate Risk",2
"46662",619,"A-1 BAKERY","1727 OCEAN Ave","San Francisco","CA","94112",37.724824,-122.460726,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.460726', 'latitude': '37.724824'}",14155586923,"619_20190110","2019-01-10T00:00:00",86,"Routine - Unscheduled","619_20190110_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"46678",61915,"La Loma Produce Nos. 3 & 9 Inc","5652 MISSION St","San Francisco","CA","94112",37.710685,-122.447907,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.447907', 'latitude': '37.710685'}",14155589254,"61915_20190109","2019-01-09T00:00:00",83,"Routine - Unscheduled","61915_20190109_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"46697",68773,"Nopalito","1224 9th Ave","San Francisco","CA","94122",37.765412,-122.466375,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.466375', 'latitude': '37.765412'}",14155430303,"68773_20190116","2019-01-16T00:00:00",87,"Routine - Unscheduled","68773_20190116_103105","Improper cooling methods","High Risk",3
"46698",68773,"Nopalito","1224 9th Ave","San Francisco","CA","94122",37.765412,-122.466375,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.466375', 'latitude': '37.765412'}",14155430303,"68773_20190116","2019-01-16T00:00:00",87,"Routine - Unscheduled","68773_20190116_103120","Moderate risk food holding temperature","Moderate Risk",2
"46723",3070,"FLOWER MARKET CAFE","698 BRANNAN St","San Francisco","CA","94107",37.775664,-122.399999,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.399999', 'latitude': '37.775664'}",14155497162,"3070_20190110","2019-01-10T00:00:00",77,"Routine - Unscheduled","3070_20190110_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"46732",62000,"Cafe Encore","488 Post St","San Francisco","CA","94109",37.788128,-122.409705,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.409705', 'latitude': '37.788128'}",14155436549,"62000_20190111","2019-01-11T00:00:00",92,"Routine - Unscheduled","62000_20190111_103129","Insufficient hot water or running water","Moderate Risk",2
"46733",1352,"LA TORTILLA","495 Castro St B","San Francisco","CA","94114",37.760954,-122.434935,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.434935', 'latitude': '37.760954'}",14155863990,"1352_20190115","2019-01-15T00:00:00",86,"Routine - Unscheduled","1352_20190115_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"46747",5948,"THE BRANDEIS SCHOOL OF SAN FRANCISCO","655 BROTHERHOOD Way","San Francisco","CA","94132",37.713935,-122.475282,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475282', 'latitude': '37.713935'}",14155401035,"5948_20160909","2016-09-09T00:00:00",91,"Routine - Unscheduled","5948_20160909_103148","No thermometers or uncalibrated thermometers","Low Risk",1
"46757",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20171010","2017-10-10T00:00:00",70,"Routine - Unscheduled","71657_20171010_103133","Foods not protected from contamination","Moderate Risk",2
"46766",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20180814","2018-08-14T00:00:00",76,"Routine - Unscheduled","71657_20180814_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"46776",5948,"THE BRANDEIS SCHOOL OF SAN FRANCISCO","655 BROTHERHOOD Way","San Francisco","CA","94132",37.713935,-122.475282,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.475282', 'latitude': '37.713935'}",14155401035,"5948_20160909","2016-09-09T00:00:00",91,"Routine - Unscheduled","5948_20160909_103103","High risk food holding temperature","High Risk",3
"46777",3070,"FLOWER MARKET CAFE","698 BRANNAN St","San Francisco","CA","94107",37.775664,-122.399999,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.399999', 'latitude': '37.775664'}",14155497162,"3070_20190110","2019-01-10T00:00:00",77,"Routine - Unscheduled","3070_20190110_103133","Foods not protected from contamination","Moderate Risk",2
"46778",61915,"La Loma Produce Nos. 3 & 9 Inc","5652 MISSION St","San Francisco","CA","94112",37.710685,-122.447907,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.447907', 'latitude': '37.710685'}",14155589254,"61915_20190109","2019-01-09T00:00:00",83,"Routine - Unscheduled","61915_20190109_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
